sku,product_name,category,collection,material,secondary_material,color_palette,style_tags,msrp,length_cm,width_cm,height_cm,weight_kg,description,image_url,status,launch_year
SKU-0020,Nordic Frost Steel Console,Console,Nordic Frost,steel,birch,Pale Birch / Arctic White,scandinavian | cool-tones,705.5,142.6,43.5,71.8,23.4,Slim steel console table for entryways and hallways.,https://catalog.example.com/images/SKU-0020.jpg,Limited Edition,2024
SKU-0021,Metro Edge Steel Desk,Desk,Metro Edge,steel,leather,White Marble / Gunmetal,industrial | urban,691.74,150.3,64.8,67.7,29.5,Spacious steel writing desk with cable management.,https://catalog.example.com/images/SKU-0021.jpg,Active,2024
SKU-0022,Coastal Breeze Teak Nightstand,Nightstand,Coastal Breeze,teak,linen,Driftwood / Sandy Beige,warm-neutrals | coastal,1273.16,44.7,42.2,59.0,10.9,Petite teak nightstand perfect for small bedrooms.,https://catalog.example.com/images/SKU-0022.jpg,Active,2022
SKU-0023,Organic Living Teak Dining Table,Dining Table,Organic Living,teak,bamboo,Teak Brown / Oat Linen,organic-modern | warm-neutrals,1432.46,198.2,109.0,67.4,48.3,"Generously proportioned dining table for family gatherings, crafted from teak.",https://catalog.example.com/images/SKU-0023.jpg,Discontinued,2021
SKU-0024,Nordic Frost Birch Chair,Chair,Nordic Frost,birch,wool,Pale Birch / Arctic White,scandinavian | cool-tones,315.35,50.6,54.8,83.8,7.8,Sculptural birch accent chair with a contemporary silhouette.,https://catalog.example.com/images/SKU-0024.jpg,Active,2022
SKU-0025,Metro Edge Leather Sofa,Sofa,Metro Edge,leather,marble,White Marble / Gunmetal,urban | minimalist,1070.64,215.9,105.4,95.1,55.7,Modular leather sofa that adapts to any living room layout.,https://catalog.example.com/images/SKU-0025.jpg,Limited Edition,2024
SKU-0026,Coastal Breeze Linen Bookshelf,Bookshelf,Coastal Breeze,linen,rattan,Driftwood / Sandy Beige,coastal | warm-neutrals,555.03,95.4,31.3,183.6,35.0,Tall linen bookshelf with a ladder-style lean design.,https://catalog.example.com/images/SKU-0026.jpg,Discontinued,2022
SKU-0027,Organic Living Bamboo Coffee Table,Coffee Table,Organic Living,bamboo,linen,Natural Bamboo / Soft White,organic-modern | boucle,329.82,122.7,62.5,42.1,18.2,Nesting bamboo coffee table set for flexible living spaces.,https://catalog.example.com/images/SKU-0027.jpg,Discontinued,2022
SKU-0028,Nordic Frost Wool Bed Frame,Bed Frame,Nordic Frost,wool,steel,Pale Birch / Arctic White,minimalist | cool-tones,1530.51,231.9,148.6,42.1,46.9,Platform wool bed frame with integrated headboard.,https://catalog.example.com/images/SKU-0028.jpg,Active,2022
SKU-0029,Metro Edge Marble Side Table,Side Table,Metro Edge,marble,steel,White Marble / Gunmetal,urban | industrial,1743.89,44.1,51.5,60.9,9.0,Geometric marble accent table for beside your sofa.,https://catalog.example.com/images/SKU-0029.jpg,Discontinued,2022
SKU-0030,Coastal Breeze Rattan Console,Console,Coastal Breeze,rattan,teak,Ocean Teak / Washed Linen,coastal | warm-neutrals,1362.53,125.9,36.7,86.4,26.2,Slim rattan console table for entryways and hallways.,https://catalog.example.com/images/SKU-0030.jpg,Discontinued,2025
SKU-0031,Organic Living Linen Desk,Desk,Organic Living,linen,teak,Teak Brown / Oat Linen,boucle | organic-modern,216.99,154.7,63.9,68.1,27.2,Mid-century linen desk with pencil drawer and hutch.,https://catalog.example.com/images/SKU-0031.jpg,Discontinued,2022
SKU-0032,Nordic Frost Steel Nightstand,Nightstand,Nordic Frost,steel,birch,Pale Birch / Arctic White,cool-tones | minimalist,825.4,46.4,41.3,51.9,12.0,Petite steel nightstand perfect for small bedrooms.,https://catalog.example.com/images/SKU-0032.jpg,Active,2021
SKU-0033,Metro Edge Steel Dining Table,Dining Table,Metro Edge,steel,leather,Black Steel / Charcoal Leather,industrial | urban,1657.85,213.0,103.3,70.7,47.6,Elegant steel dining table with clean lines and a natural finish.,https://catalog.example.com/images/SKU-0033.jpg,Discontinued,2024
SKU-0034,Coastal Breeze Teak Chair,Chair,Coastal Breeze,teak,linen,Driftwood / Sandy Beige,warm-neutrals | coastal,1489.09,55.6,59.4,91.8,7.3,Comfortable teak dining chair with ergonomic lumbar support.,https://catalog.example.com/images/SKU-0034.jpg,Active,2021
SKU-0035,Organic Living Teak Sofa,Sofa,Organic Living,teak,bamboo,Teak Brown / Oat Linen,organic-modern | boucle,907.99,228.8,91.7,86.2,59.9,Deep-seated teak sofa with plush cushions for ultimate relaxation.,https://catalog.example.com/images/SKU-0035.jpg,Discontinued,2022
SKU-0036,Nordic Frost Birch Bookshelf,Bookshelf,Nordic Frost,birch,wool,Pale Birch / Arctic White,scandinavian | minimalist,2328.26,79.7,37.0,172.8,38.6,Open-shelf birch bookcase with five adjustable tiers.,https://catalog.example.com/images/SKU-0036.jpg,Limited Edition,2022
SKU-0037,Metro Edge Leather Coffee Table,Coffee Table,Metro Edge,leather,marble,Black Steel / Charcoal Leather,urban | industrial,812.65,130.3,56.0,48.4,19.8,Nesting leather coffee table set for flexible living spaces.,https://catalog.example.com/images/SKU-0037.jpg,Active,2022
SKU-0038,Coastal Breeze Linen Bed Frame,Bed Frame,Coastal Breeze,linen,rattan,Driftwood / Sandy Beige,relaxed | warm-neutrals,711.72,198.8,143.5,42.6,48.2,Queen-size linen bed frame with slatted base support.,https://catalog.example.com/images/SKU-0038.jpg,Discontinued,2024
SKU-0039,Organic Living Bamboo Side Table,Side Table,Organic Living,bamboo,linen,Teak Brown / Oat Linen,organic-modern | boucle,1761.89,54.5,47.1,61.2,11.2,Round bamboo side table with a tapered pedestal base.,https://catalog.example.com/images/SKU-0039.jpg,Active,2021
SKU-0040,Nordic Frost Wool Console,Console,Nordic Frost,wool,steel,Matte Steel / Frost Grey,minimalist | scandinavian,1571.11,126.4,40.7,75.3,26.3,Elegant wool console with two open shelves below.,https://catalog.example.com/images/SKU-0040.jpg,Active,2025
SKU-0041,Metro Edge Marble Desk,Desk,Metro Edge,marble,steel,Black Steel / Charcoal Leather,urban | minimalist,2327.82,125.6,72.8,71.9,28.7,Mid-century marble desk with pencil drawer and hutch.,https://catalog.example.com/images/SKU-0041.jpg,Active,2023
SKU-0042,Coastal Breeze Rattan Nightstand,Nightstand,Coastal Breeze,rattan,teak,Ocean Teak / Washed Linen,relaxed | warm-neutrals,1365.38,52.4,40.5,50.9,12.5,Petite rattan nightstand perfect for small bedrooms.,https://catalog.example.com/images/SKU-0042.jpg,Active,2022
SKU-0043,Organic Living Linen Dining Table,Dining Table,Organic Living,linen,teak,Teak Brown / Oat Linen,boucle | organic-modern,1614.68,190.6,93.0,80.1,46.2,Elegant linen dining table with clean lines and a natural finish.,https://catalog.example.com/images/SKU-0043.jpg,Active,2024
SKU-0044,Nordic Frost Steel Chair,Chair,Nordic Frost,steel,birch,Pale Birch / Arctic White,cool-tones | minimalist,1215.11,58.9,61.1,95.1,8.3,Sculptural steel accent chair with a contemporary silhouette.,https://catalog.example.com/images/SKU-0044.jpg,Active,2025
SKU-0045,Metro Edge Steel Sofa,Sofa,Metro Edge,steel,leather,White Marble / Gunmetal,industrial | minimalist,1725.86,229.1,88.7,78.9,48.7,Classic 3-seater steel sofa with solid hardwood frame.,https://catalog.example.com/images/SKU-0045.jpg,Active,2024
SKU-0046,Coastal Breeze Teak Bookshelf,Bookshelf,Coastal Breeze,teak,linen,Ocean Teak / Washed Linen,relaxed | coastal,1604.93,94.7,34.0,175.7,32.0,Open-shelf teak bookcase with five adjustable tiers.,https://catalog.example.com/images/SKU-0046.jpg,Limited Edition,2021
SKU-0047,Organic Living Teak Coffee Table,Coffee Table,Organic Living,teak,bamboo,Teak Brown / Oat Linen,organic-modern | boucle,2252.12,128.8,62.8,44.6,20.3,Low-profile teak coffee table with rounded edges.,https://catalog.example.com/images/SKU-0047.jpg,Active,2024
SKU-0048,Nordic Frost Birch Bed Frame,Bed Frame,Nordic Frost,birch,wool,Matte Steel / Frost Grey,minimalist | cool-tones,505.68,226.7,161.8,43.8,52.9,Minimalist birch bed frame with hidden under-bed storage.,https://catalog.example.com/images/SKU-0048.jpg,Active,2024
SKU-0049,Metro Edge Leather Side Table,Side Table,Metro Edge,leather,marble,White Marble / Gunmetal,minimalist | urban,795.14,51.5,47.3,53.9,9.5,Compact leather side table with a single drawer.,https://catalog.example.com/images/SKU-0049.jpg,Active,2023
SKU-0050,Coastal Breeze Linen Console,Console,Coastal Breeze,linen,rattan,Driftwood / Sandy Beige,coastal | warm-neutrals,934.33,121.6,41.9,84.0,22.4,Narrow linen console table with brass-tipped legs.,https://catalog.example.com/images/SKU-0050.jpg,Active,2023
SKU-0051,Tuscany Collection Raw Oak Dining Table,Dining Table,Tuscany Collection,raw oak,linen,Warm Honey / Natural Cream,organic-modern | warm-neutrals | raw-wood,1476.88,185.9,98.1,82.3,45.9,"Generously proportioned dining table for family gatherings, crafted from raw oak.",https://catalog.example.com/images/SKU-0051.jpg,Limited Edition,2020
SKU-0052,Tuscany Collection Linen Dining Table II,Dining Table,Tuscany Collection,linen,raw oak,Golden Oak / Ivory Linen,organic-modern | warm-neutrals | raw-wood,2590.69,194.3,88.1,72.3,47.7,"Sturdy linen table seating 6–8, ideal for modern dining rooms.",https://catalog.example.com/images/SKU-0052.jpg,Active,2024
SKU-0053,Tuscany Collection Raw Oak Dining Table Slim,Dining Table,Tuscany Collection,raw oak,linen,Warm Honey / Natural Cream,organic-modern | warm-neutrals | raw-wood,2279.42,214.4,109.5,74.8,42.5,"Sturdy raw oak table seating 6–8, ideal for modern dining rooms.",https://catalog.example.com/images/SKU-0053.jpg,Active,2020
SKU-0054,Tuscany Collection Linen Dining Table Wide,Dining Table,Tuscany Collection,linen,raw oak,Golden Oak / Ivory Linen,organic-modern | warm-neutrals | raw-wood,1257.24,208.6,97.7,69.0,44.6,"Sturdy linen table seating 6–8, ideal for modern dining rooms.",https://catalog.example.com/images/SKU-0054.jpg,Active,2024
SKU-0055,Tuscany Collection Raw Oak Dining Table Compact,Dining Table,Tuscany Collection,raw oak,linen,Warm Honey / Natural Cream,organic-modern | warm-neutrals | raw-wood,1671.25,204.4,103.9,67.5,44.2,Elegant raw oak dining table with clean lines and a natural finish.,https://catalog.example.com/images/SKU-0055.jpg,Active,2021
SKU-0056,Tuscany Collection Linen Dining Table XL,Dining Table,Tuscany Collection,linen,raw oak,Golden Oak / Ivory Linen,organic-modern | warm-neutrals | raw-wood,292.31,191.7,98.9,72.1,49.1,Elegant linen dining table with clean lines and a natural finish.,https://catalog.example.com/images/SKU-0056.jpg,Active,2023
SKU-0057,Tuscany Collection Raw Oak Chair,Chair,Tuscany Collection,raw oak,linen,Warm Honey / Natural Cream,organic-modern | warm-neutrals | raw-wood,2528.5,48.7,55.5,100.8,7.7,"Light yet durable raw oak chair, perfect for everyday use.",https://catalog.example.com/images/SKU-0057.jpg,Limited Edition,2020
SKU-0058,Tuscany Collection Linen Chair II,Chair,Tuscany Collection,linen,raw oak,Golden Oak / Ivory Linen,organic-modern | warm-neutrals | raw-wood,2375.51,48.9,48.8,84.5,8.7,Sculptural linen accent chair with a contemporary silhouette.,https://catalog.example.com/images/SKU-0058.jpg,Discontinued,2021
SKU-0059,Tuscany Collection Raw Oak Chair Slim,Chair,Tuscany Collection,raw oak,linen,Warm Honey / Natural Cream,organic-modern | warm-neutrals | raw-wood,828.85,57.2,55.8,83.9,8.4,"Light yet durable raw oak chair, perfect for everyday use.",https://catalog.example.com/images/SKU-0059.jpg,Active,2021
SKU-0060,Tuscany Collection Linen Chair Wide,Chair,Tuscany Collection,linen,raw oak,Golden Oak / Ivory Linen,organic-modern | warm-neutrals | raw-wood,1875.79,57.9,58.7,82.7,7.6,Sculptural linen accent chair with a contemporary silhouette.,https://catalog.example.com/images/SKU-0060.jpg,Discontinued,2020
SKU-0061,Tuscany Collection Raw Oak Chair Compact,Chair,Tuscany Collection,raw oak,linen,Warm Honey / Natural Cream,organic-modern | warm-neutrals | raw-wood,2796.33,57.3,61.0,87.8,8.4,Sculptural raw oak accent chair with a contemporary silhouette.,https://catalog.example.com/images/SKU-0061.jpg,Active,2024
SKU-0062,Tuscany Collection Raw Oak Sofa,Sofa,Tuscany Collection,raw oak,linen,Warm Honey / Natural Cream,organic-modern | warm-neutrals | raw-wood,2516.13,199.0,101.2,92.1,56.3,Deep-seated raw oak sofa with plush cushions for ultimate relaxation.,https://catalog.example.com/images/SKU-0062.jpg,Active,2024
SKU-0063,Tuscany Collection Linen Sofa II,Sofa,Tuscany Collection,linen,raw oak,Golden Oak / Ivory Linen,organic-modern | warm-neutrals | raw-wood,2379.51,221.7,98.7,76.2,56.9,Modular linen sofa that adapts to any living room layout.,https://catalog.example.com/images/SKU-0063.jpg,Active,2023
SKU-0064,Tuscany Collection Raw Oak Sofa Slim,Sofa,Tuscany Collection,raw oak,linen,Warm Honey / Natural Cream,organic-modern | warm-neutrals | raw-wood,2492.64,216.5,91.9,93.0,54.5,Deep-seated raw oak sofa with plush cushions for ultimate relaxation.,https://catalog.example.com/images/SKU-0064.jpg,Active,2023
SKU-0065,Tuscany Collection Linen Sofa Wide,Sofa,Tuscany Collection,linen,raw oak,Golden Oak / Ivory Linen,organic-modern | warm-neutrals | raw-wood,650.99,244.6,89.8,91.3,55.5,Classic 3-seater linen sofa with solid hardwood frame.,https://catalog.example.com/images/SKU-0065.jpg,Active,2023
SKU-0066,Tuscany Collection Raw Oak Sofa Compact,Sofa,Tuscany Collection,raw oak,linen,Warm Honey / Natural Cream,organic-modern | warm-neutrals | raw-wood,1390.39,224.9,90.9,79.8,60.7,Classic 3-seater raw oak sofa with solid hardwood frame.,https://catalog.example.com/images/SKU-0066.jpg,Active,2023
SKU-0067,Tuscany Collection Linen Sofa XL,Sofa,Tuscany Collection,linen,raw oak,Golden Oak / Ivory Linen,organic-modern | warm-neutrals | raw-wood,844.01,223.7,98.8,81.7,54.9,Modular linen sofa that adapts to any living room layout.,https://catalog.example.com/images/SKU-0067.jpg,Active,2021
SKU-0068,Tuscany Collection Raw Oak Bookshelf,Bookshelf,Tuscany Collection,raw oak,linen,Warm Honey / Natural Cream,organic-modern | warm-neutrals | raw-wood,753.54,86.6,38.2,188.7,33.1,Tall raw oak bookshelf with a ladder-style lean design.,https://catalog.example.com/images/SKU-0068.jpg,Active,2024
SKU-0069,Tuscany Collection Linen Bookshelf II,Bookshelf,Tuscany Collection,linen,raw oak,Golden Oak / Ivory Linen,organic-modern | warm-neutrals | raw-wood,2850.98,84.4,34.2,182.4,32.8,Open-shelf linen bookcase with five adjustable tiers.,https://catalog.example.com/images/SKU-0069.jpg,Active,2025
SKU-0070,Tuscany Collection Raw Oak Bookshelf Slim,Bookshelf,Tuscany Collection,raw oak,linen,Warm Honey / Natural Cream,organic-modern | warm-neutrals | raw-wood,2177.75,96.3,31.6,168.0,36.6,Tall raw oak bookshelf with a ladder-style lean design.,https://catalog.example.com/images/SKU-0070.jpg,Active,2025
SKU-0071,Tuscany Collection Linen Bookshelf Wide,Bookshelf,Tuscany Collection,linen,raw oak,Golden Oak / Ivory Linen,organic-modern | warm-neutrals | raw-wood,1806.43,91.2,33.7,201.5,35.4,Tall linen bookshelf with a ladder-style lean design.,https://catalog.example.com/images/SKU-0071.jpg,Active,2025
SKU-0072,Tuscany Collection Raw Oak Bookshelf Compact,Bookshelf,Tuscany Collection,raw oak,linen,Warm Honey / Natural Cream,organic-modern | warm-neutrals | raw-wood,1442.17,84.6,31.8,166.7,31.8,Tall raw oak bookshelf with a ladder-style lean design.,https://catalog.example.com/images/SKU-0072.jpg,Discontinued,2025
SKU-0073,Tuscany Collection Raw Oak Coffee Table,Coffee Table,Tuscany Collection,raw oak,linen,Warm Honey / Natural Cream,organic-modern | warm-neutrals | raw-wood,694.89,119.5,63.2,50.1,20.1,Nesting raw oak coffee table set for flexible living spaces.,https://catalog.example.com/images/SKU-0073.jpg,Active,2020
SKU-0074,Tuscany Collection Linen Coffee Table II,Coffee Table,Tuscany Collection,linen,raw oak,Golden Oak / Ivory Linen,organic-modern | warm-neutrals | raw-wood,2521.99,112.2,55.4,39.8,20.2,Round linen coffee table combining form and function.,https://catalog.example.com/images/SKU-0074.jpg,Active,2020
SKU-0075,Tuscany Collection Raw Oak Coffee Table Slim,Coffee Table,Tuscany Collection,raw oak,linen,Warm Honey / Natural Cream,organic-modern | warm-neutrals | raw-wood,2925.74,114.0,66.4,46.5,21.2,Nesting raw oak coffee table set for flexible living spaces.,https://catalog.example.com/images/SKU-0075.jpg,Active,2020
SKU-0076,Tuscany Collection Linen Coffee Table Wide,Coffee Table,Tuscany Collection,linen,raw oak,Golden Oak / Ivory Linen,organic-modern | warm-neutrals | raw-wood,1785.08,119.4,57.7,50.0,18.8,Round linen coffee table combining form and function.,https://catalog.example.com/images/SKU-0076.jpg,Active,2020
SKU-0077,Tuscany Collection Raw Oak Bed Frame,Bed Frame,Tuscany Collection,raw oak,linen,Warm Honey / Natural Cream,organic-modern | warm-neutrals | raw-wood,1291.02,213.9,167.2,36.7,53.7,Platform raw oak bed frame with integrated headboard.,https://catalog.example.com/images/SKU-0077.jpg,Active,2020
SKU-0078,Tuscany Collection Linen Bed Frame II,Bed Frame,Tuscany Collection,linen,raw oak,Golden Oak / Ivory Linen,organic-modern | warm-neutrals | raw-wood,2981.67,212.9,156.8,40.9,51.4,Platform linen bed frame with integrated headboard.,https://catalog.example.com/images/SKU-0078.jpg,Discontinued,2023
SKU-0079,Tuscany Collection Raw Oak Bed Frame Slim,Bed Frame,Tuscany Collection,raw oak,linen,Warm Honey / Natural Cream,organic-modern | warm-neutrals | raw-wood,1432.97,199.8,163.4,39.3,50.8,Minimalist raw oak bed frame with hidden under-bed storage.,https://catalog.example.com/images/SKU-0079.jpg,Active,2024
SKU-0080,Tuscany Collection Linen Bed Frame Wide,Bed Frame,Tuscany Collection,linen,raw oak,Golden Oak / Ivory Linen,organic-modern | warm-neutrals | raw-wood,2885.31,232.6,148.8,37.2,51.9,Platform linen bed frame with integrated headboard.,https://catalog.example.com/images/SKU-0080.jpg,Active,2021
SKU-0081,Tuscany Collection Raw Oak Side Table,Side Table,Tuscany Collection,raw oak,linen,Warm Honey / Natural Cream,organic-modern | warm-neutrals | raw-wood,1722.18,44.0,49.4,61.4,9.5,Compact raw oak side table with a single drawer.,https://catalog.example.com/images/SKU-0081.jpg,Active,2022
SKU-0082,Tuscany Collection Linen Side Table II,Side Table,Tuscany Collection,linen,raw oak,Golden Oak / Ivory Linen,organic-modern | warm-neutrals | raw-wood,2163.82,54.3,44.9,56.2,9.4,Round linen side table with a tapered pedestal base.,https://catalog.example.com/images/SKU-0082.jpg,Limited Edition,2024
SKU-0083,Tuscany Collection Raw Oak Side Table Slim,Side Table,Tuscany Collection,raw oak,linen,Warm Honey / Natural Cream,organic-modern | warm-neutrals | raw-wood,2033.37,49.1,50.5,62.1,11.0,Compact raw oak side table with a single drawer.,https://catalog.example.com/images/SKU-0083.jpg,Active,2020
SKU-0084,Tuscany Collection Linen Side Table Wide,Side Table,Tuscany Collection,linen,raw oak,Golden Oak / Ivory Linen,organic-modern | warm-neutrals | raw-wood,318.97,51.1,53.9,66.1,9.9,Geometric linen accent table for beside your sofa.,https://catalog.example.com/images/SKU-0084.jpg,Active,2025
SKU-0085,Tuscany Collection Raw Oak Console,Console,Tuscany Collection,raw oak,linen,Warm Honey / Natural Cream,organic-modern | warm-neutrals | raw-wood,2143.24,130.0,39.9,71.9,22.2,Elegant raw oak console with two open shelves below.,https://catalog.example.com/images/SKU-0085.jpg,Active,2025
SKU-0086,Tuscany Collection Linen Console II,Console,Tuscany Collection,linen,raw oak,Golden Oak / Ivory Linen,organic-modern | warm-neutrals | raw-wood,1067.62,115.2,37.4,83.3,27.2,Elegant linen console with two open shelves below.,https://catalog.example.com/images/SKU-0086.jpg,Discontinued,2020
SKU-0087,Tuscany Collection Raw Oak Console Slim,Console,Tuscany Collection,raw oak,linen,Warm Honey / Natural Cream,organic-modern | warm-neutrals | raw-wood,2997.78,140.0,40.7,85.1,23.1,Narrow raw oak console table with brass-tipped legs.,https://catalog.example.com/images/SKU-0087.jpg,Discontinued,2025
SKU-0088,Tuscany Collection Linen Console Wide,Console,Tuscany Collection,linen,raw oak,Golden Oak / Ivory Linen,organic-modern | warm-neutrals | raw-wood,1409.35,120.1,40.8,82.6,25.0,Elegant linen console with two open shelves below.,https://catalog.example.com/images/SKU-0088.jpg,Active,2023
SKU-0089,Tuscany Collection Raw Oak Console Compact,Console,Tuscany Collection,raw oak,linen,Warm Honey / Natural Cream,organic-modern | warm-neutrals | raw-wood,1140.69,124.4,36.2,73.5,24.5,Elegant raw oak console with two open shelves below.,https://catalog.example.com/images/SKU-0089.jpg,Active,2022
SKU-0090,Tuscany Collection Raw Oak Desk,Desk,Tuscany Collection,raw oak,linen,Warm Honey / Natural Cream,organic-modern | warm-neutrals | raw-wood,2842.8,124.4,63.1,70.5,27.2,Mid-century raw oak desk with pencil drawer and hutch.,https://catalog.example.com/images/SKU-0090.jpg,Active,2024
SKU-0091,Tuscany Collection Linen Desk II,Desk,Tuscany Collection,linen,raw oak,Golden Oak / Ivory Linen,organic-modern | warm-neutrals | raw-wood,2500.04,145.3,70.7,73.4,27.8,Spacious linen writing desk with cable management.,https://catalog.example.com/images/SKU-0091.jpg,Active,2024
SKU-0092,Tuscany Collection Raw Oak Desk Slim,Desk,Tuscany Collection,raw oak,linen,Warm Honey / Natural Cream,organic-modern | warm-neutrals | raw-wood,2304.86,138.1,62.5,70.8,27.3,Mid-century raw oak desk with pencil drawer and hutch.,https://catalog.example.com/images/SKU-0092.jpg,Active,2023
SKU-0093,Tuscany Collection Linen Desk Wide,Desk,Tuscany Collection,linen,raw oak,Golden Oak / Ivory Linen,organic-modern | warm-neutrals | raw-wood,2659.41,127.3,77.9,77.0,28.1,Standing-height adjustable linen desk for home offices.,https://catalog.example.com/images/SKU-0093.jpg,Active,2022
